Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.4,2.72,2.37,2.65,144076.0,0.0,1.0,2.4,2.72,2.37,2.65,144076.0
2020-01-03,2.65,2.65,2.48,2.5,68531.0,0.0,1.0,2.65,2.65,2.48,2.5,68531.0
2020-01-06,2.73,2.8591,2.53,2.615,434601.0,0.0,1.0,2.73,2.8591,2.53,2.615,434601.0
2020-01-07,2.56,2.6251,2.47,2.56,104622.0,0.0,1.0,2.56,2.6251,2.47,2.56,104622.0
2020-01-08,2.5,2.6389,2.5,2.57,74669.0,0.0,1.0,2.5,2.6389,2.5,2.57,74669.0
2020-01-09,2.6,2.75,2.52,2.7,169955.0,0.0,1.0,2.6,2.75,2.52,2.7,169955.0
2020-01-10,2.69,3.0,2.66,2.85,539890.0,0.0,1.0,2.69,3.0,2.66,2.85,539890.0
2020-01-13,2.83,2.88,2.64,2.77,118441.0,0.0,1.0,2.83,2.88,2.64,2.77,118441.0
2020-01-14,2.79,2.89,2.65,2.81,151135.0,0.0,1.0,2.79,2.89,2.65,2.81,151135.0
2020-01-15,2.8,2.8,2.61,2.7204,145387.0,0.0,1.0,2.8,2.8,2.61,2.7204,145387.0
2020-01-16,2.7,2.94,2.6915,2.72,118156.0,0.0,1.0,2.7,2.94,2.6915,2.72,118156.0
2020-01-17,2.75,2.86,2.68,2.71,83828.0,0.0,1.0,2.75,2.86,2.68,2.71,83828.0
2020-01-21,2.66,2.8,2.51,2.5665,115931.0,0.0,1.0,2.66,2.8,2.51,2.5665,115931.0
2020-01-22,2.59,2.6569,2.5,2.5,86520.0,0.0,1.0,2.59,2.6569,2.5,2.5,86520.0
2020-01-23,2.5,2.5599,2.42,2.495,30768.0,0.0,1.0,2.5,2.5599,2.42,2.495,30768.0
2020-01-24,2.49,2.5,2.26,2.33,161528.0,0.0,1.0,2.49,2.5,2.26,2.33,161528.0
2020-01-27,2.3,2.4,2.19,2.33,41151.0,0.0,1.0,2.3,2.4,2.19,2.33,41151.0
2020-01-28,2.32,2.39,2.31,2.32,24819.0,0.0,1.0,2.32,2.39,2.31,2.32,24819.0
2020-01-29,2.34,2.3497,2.23,2.27,55807.0,0.0,1.0,2.34,2.3497,2.23,2.27,55807.0
2020-01-30,2.25,2.29,2.1,2.21,79805.0,0.0,1.0,2.25,2.29,2.1,2.21,79805.0
2020-01-31,2.15,2.24,2.1387,2.18,51183.0,0.0,1.0,2.15,2.24,2.1387,2.18,51183.0
2020-02-03,2.16,2.26,2.15,2.2,34621.0,0.0,1.0,2.16,2.26,2.15,2.2,34621.0
2020-02-04,2.21,2.3,2.1,2.26,60207.0,0.0,1.0,2.21,2.3,2.1,2.26,60207.0
2020-02-05,2.29,2.3,2.15,2.23,39597.0,0.0,1.0,2.29,2.3,2.15,2.23,39597.0
2020-02-06,2.22,2.24,2.1356,2.21,40541.0,0.0,1.0,2.22,2.24,2.1356,2.21,40541.0
2020-02-07,2.24,2.24,2.16,2.17,29417.0,0.0,1.0,2.24,2.24,2.16,2.17,29417.0
2020-02-10,2.17,2.1994,2.12,2.165,21896.0,0.0,1.0,2.17,2.1994,2.12,2.165,21896.0
2020-02-11,2.15,2.2,2.1,2.18,25939.0,0.0,1.0,2.15,2.2,2.1,2.18,25939.0
2020-02-12,2.15,2.29,2.15,2.23,51911.0,0.0,1.0,2.15,2.29,2.15,2.23,51911.0
2020-02-13,2.23,2.23,2.12,2.16,55265.0,0.0,1.0,2.23,2.23,2.12,2.16,55265.0
2020-02-14,2.16,2.19,2.11,2.1176,44425.0,0.0,1.0,2.16,2.19,2.11,2.1176,44425.0
2020-02-18,2.13,2.13,2.08,2.12,26667.0,0.0,1.0,2.13,2.13,2.08,2.12,26667.0
2020-02-19,2.13,2.15,2.09,2.14,62842.0,0.0,1.0,2.13,2.15,2.09,2.14,62842.0
2020-02-20,2.1,2.16,2.1,2.13,32070.0,0.0,1.0,2.1,2.16,2.1,2.13,32070.0
2020-02-21,2.14,2.1626,2.09,2.13,47166.0,0.0,1.0,2.14,2.1626,2.09,2.13,47166.0
2020-02-24,2.1,2.13,2.06,2.13,40988.0,0.0,1.0,2.1,2.13,2.06,2.13,40988.0
2020-02-25,2.07,2.135,2.02,2.03,46766.0,0.0,1.0,2.07,2.135,2.02,2.03,46766.0
2020-02-26,2.0,2.09,1.875,1.945,91394.0,0.0,1.0,2.0,2.09,1.875,1.945,91394.0
2020-02-27,1.87,2.05,1.77,1.96,67607.0,0.0,1.0,1.87,2.05,1.77,1.96,67607.0
2020-02-28,2.09,2.09,1.72,1.86,127453.0,0.0,1.0,2.09,2.09,1.72,1.86,127453.0
2020-03-02,1.87,2.05,1.8,1.95,110004.0,0.0,1.0,1.87,2.05,1.8,1.95,110004.0
2020-03-03,2.07,2.07,1.9,2.01,35657.0,0.0,1.0,2.07,2.07,1.9,2.01,35657.0
2020-03-04,1.9254,2.06,1.9109,2.04,31929.0,0.0,1.0,1.9254,2.06,1.9109,2.04,31929.0
2020-03-05,2.01,2.1,1.98,1.98,40541.0,0.0,1.0,2.01,2.1,1.98,1.98,40541.0
2020-03-06,2.0,2.031,1.88,1.9,45044.0,0.0,1.0,2.0,2.031,1.88,1.9,45044.0
2020-03-09,1.9,1.99,1.67,1.74,63415.0,0.0,1.0,1.9,1.99,1.67,1.74,63415.0
2020-03-10,1.77,1.8,1.6,1.73,32316.0,0.0,1.0,1.77,1.8,1.6,1.73,32316.0
2020-03-11,1.75,1.75,1.41,1.42,73287.0,0.0,1.0,1.75,1.75,1.41,1.42,73287.0
2020-03-12,1.42,1.42,0.931,1.1,124336.0,0.0,1.0,1.42,1.42,0.931,1.1,124336.0
2020-03-13,1.3,1.3129,1.0703,1.1818,46660.0,0.0,1.0,1.3,1.3129,1.0703,1.1818,46660.0
