Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,1.32,1.32,1.18,1.24,2526732.0,0.0,1.0,1.32,1.32,1.18,1.24,2526732.0
2020-01-03,1.2,1.26,1.11,1.23,2285394.0,0.0,1.0,1.2,1.26,1.11,1.23,2285394.0
2020-01-06,1.28,1.29,1.21,1.27,2017457.0,0.0,1.0,1.28,1.29,1.21,1.27,2017457.0
2020-01-07,1.3,1.3,1.22,1.24,1679926.0,0.0,1.0,1.3,1.3,1.22,1.24,1679926.0
2020-01-08,1.2,1.26,1.19,1.24,1686805.0,0.0,1.0,1.2,1.26,1.19,1.24,1686805.0
2020-01-09,1.23,1.239,1.16,1.1929,1635215.0,0.0,1.0,1.23,1.239,1.16,1.1929,1635215.0
2020-01-10,1.19,1.2,1.17,1.18,986997.0,0.0,1.0,1.19,1.2,1.17,1.18,986997.0
2020-01-13,1.24,1.24,1.1,1.18,1850693.0,0.0,1.0,1.24,1.24,1.1,1.18,1850693.0
2020-01-14,1.15,1.18,1.1308,1.16,1138605.0,0.0,1.0,1.15,1.18,1.1308,1.16,1138605.0
2020-01-15,1.16,1.21,1.14,1.17,1230933.0,0.0,1.0,1.16,1.21,1.14,1.17,1230933.0
2020-01-16,1.17,1.27,1.161,1.23,2744821.0,0.0,1.0,1.17,1.27,1.161,1.23,2744821.0
2020-01-17,1.23,1.25,1.18,1.2,1129506.0,0.0,1.0,1.23,1.25,1.18,1.2,1129506.0
2020-01-21,1.21,1.23,1.185,1.23,1058746.0,0.0,1.0,1.21,1.23,1.185,1.23,1058746.0
2020-01-22,1.23,1.31,1.2,1.21,3060587.0,0.0,1.0,1.23,1.31,1.2,1.21,3060587.0
2020-01-23,1.22,1.22,1.17,1.185,1249980.0,0.0,1.0,1.22,1.22,1.17,1.185,1249980.0
2020-01-24,1.18,1.2,1.14,1.16,1106064.0,0.0,1.0,1.18,1.2,1.14,1.16,1106064.0
2020-01-27,1.13,1.14,1.01,1.08,1471814.0,0.0,1.0,1.13,1.14,1.01,1.08,1471814.0
2020-01-28,1.05,1.15,1.05,1.1299,817365.0,0.0,1.0,1.05,1.15,1.05,1.1299,817365.0
2020-01-29,1.13,1.15,1.07,1.08,747137.0,0.0,1.0,1.13,1.15,1.07,1.08,747137.0
2020-01-30,1.07,1.09,1.01,1.09,1101640.0,0.0,1.0,1.07,1.09,1.01,1.09,1101640.0
2020-01-31,1.07,1.08,1.03,1.03,960107.0,0.0,1.0,1.07,1.08,1.03,1.03,960107.0
2020-02-03,1.03,1.07,1.01,1.01,891735.0,0.0,1.0,1.03,1.07,1.01,1.01,891735.0
2020-02-04,1.06,1.06,1.01,1.05,643654.0,0.0,1.0,1.06,1.06,1.01,1.05,643654.0
2020-02-05,1.05,1.08,1.03,1.04,507611.0,0.0,1.0,1.05,1.08,1.03,1.04,507611.0
2020-02-06,1.03,1.06,1.02,1.03,396527.0,0.0,1.0,1.03,1.06,1.02,1.03,396527.0
2020-02-07,1.03,1.04,1.01,1.02,573955.0,0.0,1.0,1.03,1.04,1.01,1.02,573955.0
2020-02-10,1.1,1.2112,1.0425,1.13,5956807.0,0.0,1.0,1.1,1.2112,1.0425,1.13,5956807.0
2020-02-11,1.1,1.1067,1.06,1.08,1200198.0,0.0,1.0,1.1,1.1067,1.06,1.08,1200198.0
2020-02-12,1.07,1.078,1.04,1.04,729162.0,0.0,1.0,1.07,1.078,1.04,1.04,729162.0
2020-02-13,1.06,1.06,1.02,1.04,589075.0,0.0,1.0,1.06,1.06,1.02,1.04,589075.0
2020-02-14,1.02,1.05,1.02,1.0494,749381.0,0.0,1.0,1.02,1.05,1.02,1.0494,749381.0
2020-02-18,1.05,1.07,1.02,1.04,905923.0,0.0,1.0,1.05,1.07,1.02,1.04,905923.0
2020-02-19,1.04,1.07,1.03,1.06,458801.0,0.0,1.0,1.04,1.07,1.03,1.06,458801.0
2020-02-20,1.05,1.09,1.04,1.07,717758.0,0.0,1.0,1.05,1.09,1.04,1.07,717758.0
2020-02-21,1.1,1.15,1.09,1.11,2398203.0,0.0,1.0,1.1,1.15,1.09,1.11,2398203.0
2020-02-24,1.1,1.1099,1.05,1.08,1063549.0,0.0,1.0,1.1,1.1099,1.05,1.08,1063549.0
2020-02-25,1.08,1.11,1.04,1.06,953199.0,0.0,1.0,1.08,1.11,1.04,1.06,953199.0
2020-02-26,1.05,1.06,1.02,1.04,896990.0,0.0,1.0,1.05,1.06,1.02,1.04,896990.0
2020-02-27,1.02,1.02,0.85,0.95,2382248.0,0.0,1.0,1.02,1.02,0.85,0.95,2382248.0
2020-02-28,0.91,1.09,0.91,0.9931,2044719.0,0.0,1.0,0.91,1.09,0.91,0.9931,2044719.0
2020-03-02,1.08,1.25,1.0,1.25,3517582.0,0.0,1.0,1.08,1.25,1.0,1.25,3517582.0
2020-03-03,1.1,1.19,1.06,1.09,1595655.0,0.0,1.0,1.1,1.19,1.06,1.09,1595655.0
2020-03-04,1.16,1.16,1.051,1.09,945753.0,0.0,1.0,1.16,1.16,1.051,1.09,945753.0
2020-03-05,1.07,1.15,1.05,1.13,2522047.0,0.0,1.0,1.07,1.15,1.05,1.13,2522047.0
2020-03-06,0.86,0.87,0.7,0.7648,7185513.0,0.0,1.0,0.86,0.87,0.7,0.7648,7185513.0
2020-03-09,0.62,0.88,0.61,0.8499,6227271.0,0.0,1.0,0.62,0.88,0.61,0.8499,6227271.0
2020-03-10,1.09,1.1,0.69,0.7599,19070219.0,0.0,1.0,1.09,1.1,0.69,0.7599,19070219.0
2020-03-11,0.62,0.7,0.5599,0.577,4811393.0,0.0,1.0,0.62,0.7,0.5599,0.577,4811393.0
2020-03-12,0.48,0.55,0.47,0.478,2176405.0,0.0,1.0,0.48,0.55,0.47,0.478,2176405.0
2020-03-13,0.52,0.52,0.47,0.4801,1380972.0,0.0,1.0,0.52,0.52,0.47,0.4801,1380972.0
2020-03-16,0.4709,0.485,0.43,0.4517,978227.0,0.0,1.0,0.4709,0.485,0.43,0.4517,978227.0
2020-03-17,0.476,0.56,0.45,0.4976,1055007.0,0.0,1.0,0.476,0.56,0.45,0.4976,1055007.0
2020-03-18,0.4919,0.498,0.39,0.39201,1255708.0,0.0,1.0,0.4919,0.498,0.39,0.39201,1255708.0
2020-03-19,0.4236,0.45,0.39,0.4,1395317.0,0.0,1.0,0.4236,0.45,0.39,0.4,1395317.0
2020-03-20,0.425,0.6172,0.41,0.4201,6753779.0,0.0,1.0,0.425,0.6172,0.41,0.4201,6753779.0
2020-03-23,0.43,0.49,0.42,0.4298,1411302.0,0.0,1.0,0.43,0.49,0.42,0.4298,1411302.0
